text,label
We propose a novel deep reinforcement learning framework for autonomous agents combining policy gradient methods with model-based planning. Our approach achieves state-of-the-art performance on the MuJoCo benchmark suite.,AI / Machine Learning
This paper introduces a transformer-based language model pre-trained on 1.5 trillion tokens. Fine-tuning experiments demonstrate significant improvements on GLUE and SuperGLUE benchmarks.,AI / Machine Learning
We present a meta-learning algorithm enabling few-shot adaptation across diverse task distributions. The proposed MAML variant converges faster and generalises better than prior approaches.,AI / Machine Learning
A novel generative adversarial network architecture is proposed for high-fidelity image synthesis using spectral normalisation and adaptive instance normalisation.,AI / Machine Learning
"We introduce a self-supervised contrastive learning framework that learns robust visual representations without labelled data, outperforming supervised baselines on linear evaluation protocols.",AI / Machine Learning
"This work explores neural architecture search using evolutionary algorithms combined with gradient-based optimisation, discovering architectures matching human-designed networks at lower cost.",AI / Machine Learning
We propose a federated learning scheme with differential privacy guarantees for training ML models on distributed data without sharing raw samples.,AI / Machine Learning
"A knowledge distillation technique transfers dark knowledge from ensemble teachers to a compact student network, achieving 5× compression with less than 1 percent accuracy drop.",AI / Machine Learning
We study the optimisation landscape of deep neural networks and prove spurious local minima are exponentially rare under mild assumptions on data distribution and network width.,AI / Machine Learning
"This paper proposes a linear-complexity attention mechanism enabling transformers to handle documents of 100,000 tokens without approximation.",AI / Machine Learning
"Bayesian deep learning with uncertainty quantification is applied to medical diagnosis, providing calibrated confidence scores to support clinical decision-making.",AI / Machine Learning
We introduce a continual learning algorithm that mitigates catastrophic forgetting via elastic weight consolidation extended with a generative replay buffer.,AI / Machine Learning
Graph neural networks are extended with hyperbolic geometry to better capture hierarchical relationships in citation networks and biological interaction graphs.,AI / Machine Learning
We propose a causal inference framework integrated with deep learning to disentangle spurious correlations from true causal relationships in observational datasets.,AI / Machine Learning
A new optimiser combining adaptive learning rates with momentum correction demonstrates faster convergence than Adam across classification and language benchmarks.,AI / Machine Learning
"We present a hierarchical variational autoencoder that learns disentangled latent representations of structured data, enabling controllable generation and interpolation.",AI / Machine Learning
"A neural machine translation model is enhanced with cross-lingual pre-training on 100 languages, achieving zero-shot transfer on low-resource language pairs.",AI / Machine Learning
We study reward shaping in sparse-reward reinforcement learning and propose an automated curriculum that progressively increases task difficulty based on agent competence.,AI / Machine Learning
Mixture-of-experts language models are scaled to one trillion parameters using a learned routing mechanism that achieves balanced expert utilisation across diverse inputs.,AI / Machine Learning
"We introduce a probabilistic programming language with automatic differentiation support, enabling variational inference in complex hierarchical Bayesian models.",AI / Machine Learning
"Active learning is combined with Gaussian process regression to minimise labelling effort in molecular property prediction, reducing annotation cost by 60 percent.",AI / Machine Learning
We propose a self-play training protocol for dialogue agents that improves negotiation strategy without human interaction data.,AI / Machine Learning
A neural theorem prover is trained on formal mathematical proofs and learns to generate novel proof steps for undergraduate-level algebra problems.,AI / Machine Learning
We present an energy-based model for few-shot image generation that scores samples using a learned compatibility function between images and class prototypes.,AI / Machine Learning
"Prompt engineering strategies are systematically benchmarked across seven large language models, revealing that chain-of-thought prompting consistently improves arithmetic reasoning.",AI / Machine Learning
"We introduce a multimodal foundation model pre-trained on text, images, and audio that achieves competitive performance on each modality without task-specific fine-tuning.",AI / Machine Learning
"A recurrent neural network is trained on protein sequence data to predict secondary structure, achieving state-of-the-art results on CASP benchmarks.",AI / Machine Learning
We study neural scaling laws for language models and derive a compute-optimal training recipe that maximises performance under a fixed computational budget.,AI / Machine Learning
A differentiable physics engine is embedded within a deep learning pipeline for model-based robot manipulation planning without human-engineered dynamics models.,AI / Machine Learning
"We propose a sparse attention transformer that routes tokens to specialised heads based on content, reducing perplexity on long-document language modelling tasks.",AI / Machine Learning
We propose a real-time object detection network using depthwise separable convolutions and feature pyramid networks running at 120 FPS on embedded hardware.,Computer Vision
A 3D point cloud segmentation method based on PointNet++ with hierarchical feature aggregation achieves state-of-the-art results on ScanNet and ShapeNet.,Computer Vision
This paper presents a vision transformer architecture for semantic segmentation enriched with spatial positional encodings learned via sinusoidal functions.,Computer Vision
We introduce a contrastive self-supervised method for medical image analysis leveraging augmentation policies tailored to radiology images.,Computer Vision
"A neural implicit surface representation is proposed for 3D reconstruction from multi-view stereo images, outperforming explicit mesh-based methods.",Computer Vision
"We propose a novel optical flow estimation network using deformable convolutions and cost volume aggregation, achieving leading results on KITTI and Sintel.",Computer Vision
This work addresses video understanding by combining temporal attention with 2D spatial convolutions for action recognition in long video clips.,Computer Vision
We present a face super-resolution network using channel attention and residual dense blocks to recover fine facial details from 4× downsampled inputs.,Computer Vision
A domain adaptation framework for autonomous driving perception uses adversarial training to bridge the sim-to-real gap in object detection.,Computer Vision
We introduce a medical image registration algorithm based on diffeomorphic deformations parameterised by a convolutional neural network.,Computer Vision
"Instance segmentation is improved via a mask transformer that attends to object queries in parallel, eliminating sequential RNN-based approaches.",Computer Vision
"A diffusion model is applied to image inpainting, generating coherent textures conditioned on surrounding context and semantic labels.",Computer Vision
We propose a zero-shot object detection method by aligning visual region features with textual descriptions from a large language model.,Computer Vision
Depth estimation from a single RGB image is improved by incorporating surface normal constraints and uncertainty-aware training losses.,Computer Vision
"Event camera data is processed with a spiking neural network for high-speed motion estimation, reducing latency to under 1 ms.",Computer Vision
We present a scene graph generation model that jointly predicts objects and their pairwise visual relationships in a single forward pass.,Computer Vision
A panoptic segmentation architecture unifies semantic and instance segmentation under a shared pixel-wise prediction head trained end-to-end.,Computer Vision
We propose a neural radiance field variant that achieves real-time rendering of dynamic scenes by factorising appearance and motion.,Computer Vision
Stereo matching accuracy is improved using a recurrent cost volume filtering network that propagates confidence estimates across disparity levels.,Computer Vision
We introduce a few-shot image classification model that adapts to new visual categories from five examples using a learned nearest-centroid classifier.,Computer Vision
